pygame 2.0.1 (SDL 2.0.14, Python 3.8.11)
Hello from the pygame community. https://www.pygame.org/contribute.html

Episode 804	Average Score: 91.10
Episode 805	Average Score: 91.10
Episode 806	Average Score: 83.04
Episode 807	Average Score: 83.06
Episode 808	Average Score: 91.12
Episode 809	Average Score: 91.12
Episode 810	Average Score: 91.12
Episode 811	Average Score: 91.12
Episode 812	Average Score: 91.12
Episode 813	Average Score: 83.06
Episode 814	Average Score: 75.00
Episode 815	Average Score: 82.86
Episode 816	Average Score: 90.79
Episode 817	Average Score: 82.73
Episode 818	Average Score: 90.79
Episode 819	Average Score: 98.88
Episode 820	Average Score: 98.88
Episode 821	Average Score: 98.88
Episode 822	Average Score: 90.82
Episode 823	Average Score: 82.73
Episode 824	Average Score: 74.64
Episode 825	Average Score: 66.58
Episode 826	Average Score: 66.58
Episode 827	Average Score: 66.61
Episode 828	Average Score: 66.65
Episode 829	Average Score: 66.65
Episode 830	Average Score: 66.65
Episode 831	Average Score: 66.65
Episode 832	Average Score: 58.79
Episode 833	Average Score: 58.79
Episode 834	Average Score: 50.73
Episode 835	Average Score: 58.79
Episode 836	Average Score: 66.85
Episode 837	Average Score: 66.85
Episode 838	Average Score: 66.88
Episode 839	Average Score: 66.91
Episode 840	Average Score: 66.91
Episode 841	Average Score: 66.91
Episode 842	Average Score: 58.85
Episode 843	Average Score: 50.91
Episode 844	Average Score: 58.97
Episode 845	Average Score: 58.82
Episode 846	Average Score: 66.88
Episode 847	Average Score: 74.91
Episode 848	Average Score: 82.97
Episode 849	Average Score: 74.91
