pygame 2.0.1 (SDL 2.0.14, Python 3.8.11)
Hello from the pygame community. https://www.pygame.org/contribute.html

Episode 594	Average Score: -307.51
Episode 595	Average Score: -307.76
Episode 596	Average Score: -307.83
Episode 597	Average Score: -307.94
Episode 598	Average Score: -307.80
Episode 599	Average Score: -307.82
Episode 600	Average Score: -307.82
Episode 600	Average Score: -307.82

Episode 601	Average Score: -307.82
Episode 602	Average Score: -307.81
Episode 603	Average Score: -307.88
Episode 604	Average Score: -307.88
Episode 605	Average Score: -307.93
Episode 606	Average Score: -307.90
Episode 607	Average Score: -307.97
Episode 608	Average Score: -307.87
Episode 609	Average Score: -307.61
Episode 610	Average Score: -307.33
Episode 611	Average Score: -307.30
Episode 612	Average Score: -307.27
Episode 613	Average Score: -307.19
Episode 614	Average Score: -307.02
Episode 615	Average Score: -307.19
Episode 616	Average Score: -307.19
Episode 617	Average Score: -307.16
Episode 618	Average Score: -307.19
Episode 619	Average Score: -306.90
Episode 620	Average Score: -306.68
Episode 621	Average Score: -306.40
Episode 622	Average Score: -306.40
Episode 623	Average Score: -306.41
Episode 624	Average Score: -306.70
Episode 625	Average Score: -306.91
Episode 626	Average Score: -306.82
Episode 627	Average Score: -306.81
Episode 628	Average Score: -306.82
Episode 629	Average Score: -306.84
Episode 630	Average Score: -306.92
Episode 631	Average Score: -306.97
Episode 632	Average Score: -306.90
Episode 633	Average Score: -306.75
Episode 634	Average Score: -306.69
Episode 635	Average Score: -306.74
Episode 636	Average Score: -306.66
Episode 637	Average Score: -306.63
Episode 638	Average Score: -306.45
Episode 639	Average Score: -306.37
Episode 640	Average Score: -306.39
Episode 641	Average Score: -298.58
Episode 642	Average Score: -298.59
Episode 643	Average Score: -298.31
Episode 644	Average Score: -290.51
Episode 645	Average Score: -290.65
Episode 646	Average Score: -290.43
Episode 647	Average Score: -290.44
Episode 648	Average Score: -290.44
Episode 649	Average Score: -290.44
Episode 650	Average Score: -290.32
Episode 651	Average Score: -290.29
Episode 652	Average Score: -290.40
Episode 653	Average Score: -290.39
Episode 654	Average Score: -290.31
Episode 655	Average Score: -290.27
Episode 656	Average Score: -290.20
Episode 657	Average Score: -290.15
Episode 658	Average Score: -290.32
Episode 659	Average Score: -290.31
Episode 660	Average Score: -290.06
Episode 661	Average Score: -290.06
Episode 662	Average Score: -290.01
Episode 663	Average Score: -290.06
Episode 664	Average Score: -290.10
Episode 665	Average Score: -289.99
